longitude,latitude,examined,positive,prev,alt,temp,prec,hum,dist_aqua
31.0572,-15.1103,11,3,0.272727273,915,28.67469597,90.05833435,64.8833313,49.81100082
31.6764,-15.7569,7,0,0,437,31.24856758,67.41666412,64.42500305,2.069000006
31.6786,-22.0792,33,5,0.151515152,454,30.5076828,40.90000153,69.48332977,6.171000004
31.689,-22.0767,29,3,0.103448276,462,30.5076828,40.90000153,69.48332977,6.419000149
31.7461,-15.8078,67,24,0.358208955,455,31.90873337,67.41666412,64.42500305,6.580999851
31.8991,-15.1736,12,3,0.25,851,29.2918644,95.1333313,64.70833588,40.33399963
31.984,-22.8618,37,5,0.135135135,170,31.84267044,34.84999847,69.2416687,1.876000047
31.991,-25.9536,10,0,0,593,26.68390274,73.41666412,68.875,3.53399992
31.9935,-25.4438,4,0,0,142,29.35919189,50.875,69.44166565,0.463999987
32.0151,-25.9772,12,0,0,549,27.50574875,71.19166565,69.84166718,2.246000051
32.1808,-26.0947,2,0,0,60,30.13501358,61.375,71.16666412,0.879000008
32.1873,-26.7663,6,0,0,107,29.51624298,53.02500153,71.35832977,7.881000042
32.2365,-25.5958,10,1,0.1,103,30.23554993,59.65833282,71.40000153,0.934000015
32.3404,-26.0422,12,0,0,15,30.30842209,62.50833511,72.6333313,1.746000051
32.363,-14.3937,10,10,1,866,30.19872856,94.05833435,64.09999847,12.02799988
32.3874,-26.1087,8,0,0,37,29.90458488,62.50833511,72.6333313,2.302000046
32.4228,-25.8654,10,2,0.2,28,30.53087425,62.86666489,72.75,2.53399992
32.4258,-25.9836,5,0,0,17,30.15814972,62.86666489,72.75,1.371999979
32.447,-25.9107,9,1,0.111111111,30,30.49241066,62.86666489,72.75,1.304999948
32.4491,-25.9589,4,0,0,29,30.15814972,62.86666489,72.75,0.819999993
32.4539,-23.4691,21,8,0.380952381,97,32.05310822,37.86666489,71.31666565,0.252000004
32.4548,-25.9276,12,0,0,31,30.3176136,62.86666489,72.75,2.013000011
32.455,-25.9209,6,0,0,31,30.3176136,62.86666489,72.75,1.91900003
32.4673,-25.9159,9,0,0,28,30.36805344,62.86666489,72.75,3.219000101
32.4686,-25.9762,1,0,0,7,29.84900284,62.86666489,72.75,0.837000012
32.4687,-25.9625,10,0,0,21,29.84900284,62.86666489,72.75,1.264000058
32.469,-23.4679,11,5,0.454545455,108,32.05918121,37.86666489,71.31666565,1.669999957
32.5092,-22.2597,18,3,0.166666667,174,31.93174744,38.60833359,72.34999847,1.575999975
32.5128,-25.9028,7,0,0,30,30.25769615,65.91666412,73.98332977,0.370999992
32.5304,-23.8393,12,2,0.166666667,77,31.78499794,44.34999847,72.125,0.838999987
32.5433,-25.9297,10,0,0,27,29.92285919,65.91666412,73.98332977,1.05400002
32.5519,-25.9415,10,0,0,33,29.92285919,65.91666412,73.98332977,1.625
32.554,-25.9113,12,1,0.083333333,16,30.21300697,65.91666412,73.98332977,1.88499999
32.5566,-25.917,8,1,0.125,26,29.92285919,65.91666412,73.98332977,1.893000007
32.559,-25.9282,13,0,0,35,29.92285919,65.91666412,73.98332977,2.213999987
32.563,-25.9459,7,2,0.285714286,34,29.92285919,65.91666412,73.98332977,2.282000065
32.5704,-25.9344,11,0,0,33,29.92285919,65.91666412,73.98332977,3.461999893
32.5715,-25.9075,8,0,0,39,30.21300697,65.91666412,73.98332977,3.653000116
32.5728,-25.8812,13,2,0.153846154,30,30.21300697,65.91666412,73.98332977,2.250999928
32.5808,-25.9612,1,0,0,54,29.66764069,65.91666412,73.98332977,2.065999985
32.5818,-25.9656,3,0,0,54,29.66764069,65.91666412,73.98332977,1.542000055
32.5837,-25.8899,10,0,0,46,29.98431587,65.91666412,73.98332977,2.559999943
32.5922,-25.9144,6,0,0,44,29.98431587,65.91666412,73.98332977,3.832000017
32.5938,-25.9197,5,0,0,52,29.78307724,65.91666412,73.98332977,3.5
32.5953,-23.8517,31,2,0.064516129,65,32.12758636,44.34999847,72.125,0.822000027
32.5988,-25.9603,1,0,0,59,29.42956734,65.91666412,73.98332977,0.533999979
32.604,-25.9398,10,0,0,45,29.78307724,65.91666412,73.98332977,1.613000035
32.6126,-25.9102,17,1,0.058823529,46,29.98431587,65.91666412,73.98332977,2.296000004
